feedback_id,user_id,session_id,message_id,feedback_type,feedback_text,created_at,updated_at
1,phuongpd,12345678958,,like,"",2024-07-12 14:59:14.197131,2024-07-12 14:59:14.197131
2,phuongpd,12345678958,,like,"",2024-07-12 14:59:16.515044,2024-07-12 14:59:16.515044
3,phuongpd,12345678958,,like,"",2024-07-12 14:59:16.941444,2024-07-12 14:59:16.941444
4,phuongpd,12345678958,,like,"",2024-07-12 14:59:17.176512,2024-07-12 14:59:17.176512
5,phuongpd,12345678958,,like,"",2024-07-12 14:59:17.369137,2024-07-12 14:59:17.369137
6,phuongpd,12345678958,,dislike,Câu trả lời vô nghĩa,2024-07-12 14:59:40.747079,2024-07-12 14:59:40.747079
7,phuongpd,12345678958,,like,"",2024-07-12 15:12:16.975578,2024-07-12 15:12:16.975578
8,phuongpd,12345678958,02d37213-a8ec-4ddb-ad2c-9f6384de4999,like,"",2024-07-12 15:19:10.169697,2024-07-12 15:19:10.169697
9,phuongpd,12345678958,1c22423c-d4b2-4c36-b364-120094af1a4c,dislike,Chatbot không tốt,2024-07-12 15:22:28.053346,2024-07-12 15:22:28.053346
10,phuongpd,12345678958,430e3665-f169-46ba-bf4e-76f949f1c82f,dislike,Không ổn,2024-07-12 15:22:38.596525,2024-07-12 15:22:38.596525
11,phuongpd,12345678958,1911462a-4d37-47b7-868e-1795f2f15fd9,like,"",2024-07-12 15:32:16.689714,2024-07-12 15:32:16.689714
12,phuongpd,12345678958,12785fdd-cd26-4c46-88b1-f8075c068fe5,like,"",2024-07-12 15:59:38.635332,2024-07-12 15:59:38.635332
13,phuongpd,12345678958,0e15ea61-372d-4be3-bc13-cee53925ce98,dislike,Bot ngu vãi,2024-07-12 16:00:54.95661,2024-07-12 16:00:54.95661
